date;heure;PA01H;LOGNES;MELUN;VILLEM;CERGY;PA13;RUR-E;RUR-NO;RUR-SE;ULIS;CHAMP;PA18;MANT;RUR_S;RUR-SO;VITRY;MONTG;NEUIL;RUR-NE;RAMBO;EIFF3;RUR_N;TREMB
;;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3
2020-01-31;6;32;40;24;27;46;15;51;52;52;46;23;35;33;56;n/d;33;32;26;39;54;58;51;33
2020-01-31;7;16;19;12;12;45;8;49;54;51;41;3;18;38;55;n/d;7;22;13;35;50;55;49;20
2020-01-31;8;21;18;6;15;40;16;48;54;51;39;2;19;32;56;n/d;14;22;15;28;47;49;50;16
2020-01-31;9;32;29;22;27;39;24;47;54;51;44;16;30;41;56;n/d;26;26;23;25;49;50;45;32
2020-01-31;10;27;34;30;32;43;29;50;53;52;48;25;31;39;58;n/d;40;35;25;40;52;50;47;33
2020-01-31;11;33;37;36;35;48;34;53;52;56;50;32;35;43;58;n/d;43;38;34;35;56;52;47;34
2020-01-31;12;36;42;35;36;51;42;54;54;57;50;33;41;50;59;n/d;42;44;36;42;56;57;51;40
2020-01-31;13;42;47;38;44;55;46;54;55;58;52;42;49;53;58;n/d;47;47;41;51;57;60;54;49
2020-01-31;14;44;53;34;45;58;47;55;57;58;55;46;49;53;58;n/d;52;52;37;46;56;60;53;49
2020-01-31;15;44;52;41;44;55;42;57;59;56;55;44;44;52;60;n/d;54;51;35;53;57;59;52;47
2020-01-31;16;43;47;31;44;56;46;59;58;56;52;43;47;50;60;n/d;46;48;42;51;53;61;53;45
2020-01-31;17;35;47;31;42;54;37;55;57;56;52;38;43;45;58;n/d;43;43;33;49;49;61;51;42
2020-01-31;18;34;46;31;39;53;35;56;57;53;50;37;40;42;56;n/d;42;44;36;49;48;59;51;43
2020-01-31;19;31;48;35;36;55;34;55;56;52;52;36;37;45;57;n/d;41;44;31;49;48;56;54;37
2020-01-31;20;35;48;38;40;52;38;54;56;53;51;39;40;44;57;n/d;44;45;35;49;52;58;55;42
2020-01-31;21;36;51;37;40;56;39;53;56;50;52;41;43;47;56;n/d;46;49;40;50;53;59;55;45
2020-01-31;22;38;54;40;41;57;42;53;57;55;51;44;45;48;58;n/d;48;49;40;52;54;58;56;45
2020-01-31;23;41;53;45;43;58;42;54;57;57;52;45;44;51;60;n/d;51;51;37;52;55;59;55;46
2020-01-31;24;40;56;47;46;57;43;56;56;56;53;49;44;51;58;n/d;53;53;40;55;57;60;56;49
2020-02-01;1;47;58;45;49;56;49;56;58;54;56;51;48;53;60;59;56;55;45;57;58;63;55;53
2020-02-01;2;49;57;48;49;58;52;55;60;57;55;52;54;54;62;60;59;56;50;59;58;63;56;54
2020-02-01;3;50;62;50;53;59;53;59;59;57;56;56;53;55;62;61;57;59;51;58;59;63;58;56
2020-02-01;4;50;62;48;51;58;51;58;59;56;55;54;54;57;61;59;53;58;48;59;58;61;57;55
2020-02-01;5;45;59;48;47;57;47;57;59;54;53;51;49;56;59;57;50;55;47;57;57;60;57;51
2020-02-01;6;44;57;46;45;56;45;55;59;54;53;48;48;56;58;57;50;52;45;55;57;60;56;48
2020-02-01;7;40;54;44;42;55;42;55;57;54;50;45;45;53;58;54;46;51;40;54;55;57;54;46
2020-02-01;8;40;51;42;38;52;40;54;63;54;50;41;42;60;57;55;44;48;39;50;54;56;53;43
2020-02-01;9;39;49;40;36;60;36;53;76;53;48;36;42;60;55;57;39;43;39;47;61;59;64;39
2020-02-01;10;50;54;37;50;64;52;53;76;52;66;43;53;49;53;74;59;48;42;65;73;77;69;52
2020-02-01;11;57;57;45;50;66;49;59;75;53;69;42;52;69;75;76;64;57;50;65;74;79;72;49
2020-02-01;12;62;66;56;60;70;59;67;75;78;68;60;60;71;79;77;72;66;59;72;75;80;74;60
2020-02-01;13;64;67;58;65;69;61;70;74;79;69;64;66;69;79;77;71;71;60;68;76;78;73;65
2020-02-01;14;64;68;58;63;67;63;73;74;79;68;63;65;68;79;78;73;70;60;66;76;79;71;64
2020-02-01;15;61;68;57;61;70;59;72;75;77;68;57;64;68;78;77;67;68;59;66;75;78;69;59
2020-02-01;16;57;62;57;58;68;57;73;74;72;67;54;55;66;74;76;63;67;55;64;75;75;71;60
2020-02-01;17;59;66;55;60;70;61;73;74;71;68;58;60;67;73;73;65;67;56;65;72;76;70;64
2020-02-01;18;54;66;49;60;64;56;73;70;72;63;57;56;61;75;74;58;62;53;66;73;73;67;62
2020-02-01;19;45;64;56;51;60;53;70;66;73;65;57;48;57;72;73;61;64;46;60;73;72;64;51
2020-02-01;20;46;49;57;47;60;51;71;70;74;61;51;52;56;72;70;63;61;47;57;67;76;59;40
2020-02-01;21;46;57;57;52;65;50;63;74;72;57;49;49;59;71;67;56;56;44;48;65;74;70;54
2020-02-01;22;47;55;57;52;70;52;62;73;71;58;43;49;65;70;69;50;58;44;63;65;71;69;59
2020-02-01;23;52;53;57;56;71;48;61;74;71;61;32;57;42;70;70;47;60;52;63;69;74;68;52
2020-02-01;24;40;48;58;39;58;38;65;58;69;63;37;44;34;67;71;52;62;31;57;66;67;66;42
2020-02-02;1;48;61;59;45;51;51;66;58;66;62;53;51;51;68;68;62;64;43;53;66;71;56;44
2020-02-02;2;49;67;59;55;63;54;68;66;66;59;58;56;62;69;67;62;62;53;54;66;71;53;57
2020-02-02;3;49;66;58;50;63;54;65;64;66;61;58;57;61;70;70;62;62;52;62;69;70;62;59
2020-02-02;4;54;66;57;56;63;56;65;65;64;61;59;57;62;70;67;63;62;54;64;67;71;63;61
2020-02-02;5;53;66;56;57;65;56;64;67;64;60;59;56;61;66;65;63;61;53;66;64;69;64;62
2020-02-02;6;52;62;52;54;61;52;63;63;59;57;55;52;57;62;61;60;57;47;65;61;66;62;60
2020-02-02;7;48;58;49;46;59;47;60;60;57;55;49;49;54;62;60;53;54;45;60;59;62;58;53
2020-02-02;8;43;54;46;43;56;44;57;59;56;52;47;44;54;59;57;50;52;43;55;56;60;55;49
2020-02-02;9;45;50;43;42;54;43;54;57;53;47;41;44;51;55;52;49;48;41;51;53;56;55;44
2020-02-02;10;41;45;40;40;47;41;50;52;51;45;36;43;46;52;51;47;45;41;45;51;54;50;43
2020-02-02;11;41;44;39;40;47;41;48;54;50;47;37;42;53;55;55;48;45;40;43;53;55;48;42
2020-02-02;12;44;45;40;43;58;44;47;64;53;50;39;43;57;53;57;51;47;42;42;56;59;58;44
2020-02-02;13;47;47;42;44;58;47;49;65;53;50;42;47;56;54;56;54;51;44;55;56;62;63;45
2020-02-02;14;48;47;41;45;54;44;52;61;53;50;40;47;57;57;57;53;51;43;50;57;62;64;46
2020-02-02;15;44;46;43;37;58;39;52;63;55;52;38;47;58;59;61;52;48;40;49;60;63;59;45
2020-02-02;16;43;45;44;41;58;38;52;63;56;53;36;46;51;62;62;50;49;43;41;62;64;60;46
2020-02-02;17;33;39;41;30;51;31;53;57;55;51;26;37;51;57;56;37;42;34;43;57;62;58;38
2020-02-02;18;30;32;36;26;65;29;54;68;54;46;27;25;61;56;53;35;45;26;41;53;58;56;29
2020-02-02;19;35;40;35;33;60;33;53;67;54;44;31;27;51;59;54;32;42;30;n/d;51;58;62;42
2020-02-02;20;30;41;40;30;51;27;52;67;54;49;28;30;59;60;57;31;45;29;46;53;55;68;41
2020-02-02;21;36;44;42;32;60;37;54;74;55;50;36;34;62;59;56;41;50;42;64;55;61;68;36
2020-02-02;22;60;52;44;47;60;59;54;71;58;50;55;56;61;62;57;58;51;55;67;60;79;69;43
2020-02-02;23;61;69;47;59;63;57;63;72;59;62;60;58;52;64;73;73;59;51;65;80;85;66;55
2020-02-02;24;68;62;50;63;68;67;76;73;61;73;60;66;73;64;76;82;76;61;69;77;90;64;51
2020-02-03;1;69;74;53;71;76;67;74;81;62;68;66;70;71;63;63;77;75;62;61;62;89;74;64
2020-02-03;2;65;71;49;60;78;64;72;79;60;56;61;66;75;62;62;64;66;61;74;61;75;77;70
2020-02-03;3;74;71;48;74;72;69;73;77;59;54;70;73;75;62;60;72;59;67;77;62;87;76;69
2020-02-03;4;76;73;46;75;74;65;79;78;58;67;72;73;76;60;73;84;75;65;71;75;89;74;69
2020-02-03;5;75;75;56;70;77;63;81;79;57;79;68;72;67;67;84;84;79;62;67;85;91;74;65
2020-02-03;6;62;58;62;61;72;56;79;74;76;74;52;62;60;82;82;72;68;47;68;81;87;73;55
2020-02-03;7;48;47;34;53;64;40;75;72;83;64;31;49;45;81;77;47;48;29;53;73;82;65;40
2020-02-03;8;40;37;13;44;51;37;66;69;79;56;13;43;49;78;71;40;36;26;45;66;76;58;34
2020-02-03;9;32;28;28;40;53;32;63;68;75;56;21;42;45;77;67;34;40;27;48;66;71;53;37
2020-02-03;10;38;37;43;39;56;36;63;65;72;59;29;44;49;77;70;37;49;31;50;66;69;57;49
2020-02-03;11;45;45;44;43;57;44;64;67;72;61;37;46;51;75;71;49;55;40;56;67;70;58;51
